Description,Total Spent
biedronka,-579.52
restauracja legenda,-144.0
kfc,-131.94
żabka,-59.87
burger king,-57.480000000000004
orlen,-57.22
kogel mogel,-56.0
pizzeria ferrari,-55.0
sweet factory,-34.47
bluntland - świdnica,-29.99
rossmann,-27.779999999999998
mcdonald's,-24.9
sindbad kebab,-22.0
pasibus,-19.27
e.leclerc,-17.12
netto,-16.37
smoke shop,-15.9
alona zhosan,-15.31
podziemne miasto osówka,-14.0
p.h.u. rob al,-10.0
mm sklep monopolowo sp,-10.0
sklep ogólnospożywczy,-9.39
m. gancarz,-7.6
dealz,-6.0
gorace precle,-5.0
ciamar celina łasocha i leszek łasocha,-4.5
fc caffe,-4.0
piekarnia hert,-3.99
sklep spożywczo przemysłowy dariusz gajdzis,-3.8
spozywczak,-1.8
carrefour,-0.79
